architecture,activation,optimizer,sequence_length,gradient_clipping,accuracy,f1_score,avg_epoch_time,total_training_time,final_train_loss,final_test_loss
rnn,tanh,adam,50,1.0,0.6308,0.6047684326342755,78.60586943626404,393.0435724258423,0.6448692927884934,0.6516675128961158
lstm,tanh,adam,50,1.0,0.75812,0.7580419536254286,1567.5516211509705,7837.761986255646,0.4462769360226743,0.5653038992525061
bilstm,tanh,adam,50,1.0,0.76788,0.7670735748018767,340.3592308521271,1701.802225112915,0.3998106723779912,0.5132308878061717
lstm,sigmoid,adam,50,1.0,0.75532,0.7543916519237817,170.98532476425171,854.9336621761322,0.4536834740082321,0.5524546973350103
lstm,relu,adam,50,1.0,0.75732,0.7571672566503036,181.82956461906434,909.1574294567108,0.44731479963225784,0.5149199007569677
lstm,tanh,adam,50,1.0,0.75812,0.7580419536254286,181.3718722820282,906.8714256286621,0.4462769360226743,0.5653038992525061
lstm,tanh,adam,50,1.0,0.75812,0.7580419536254286,165.06897106170655,825.3501482009888,0.4462769360226743,0.5653038992525061
lstm,tanh,sgd,50,1.0,0.51716,0.5031571324563295,137.02696714401245,685.1405272483826,0.6929180453652921,0.6926942027133444
lstm,tanh,rmsprop,50,1.0,0.76036,0.7603346725516598,149.78989415168763,748.9574761390686,0.4649396571318817,0.5234525447230205
lstm,tanh,adam,25,1.0,0.71092,0.7108492709558287,80.95324621200561,404.7752945423126,0.47738301064199806,0.5707633322690759
lstm,tanh,adam,50,1.0,0.75812,0.7580419536254286,131.85075759887695,659.2609307765961,0.4462769360226743,0.5653038992525061
lstm,tanh,adam,100,1.0,0.79536,0.7943776237993969,201.06505970954896,1005.3317692279816,0.419704033038043,0.518117067506513
lstm,tanh,adam,50,,0.75472,0.7544129352235328,84.87589416503906,424.38447976112366,0.4789998917018666,0.5007994370844663
lstm,tanh,adam,50,1.0,0.75812,0.7580419536254286,112.918213224411,564.5972671508789,0.4462769360226743,0.5653038992525061
